"LookupType","Meaning","Description","CreatedBy","CreationDate","LastUpdatedBy","LastUpdateDate","LastUpdateLogin","ModuleId","CustomizationLevel","RestAccessSecured","BossAppPackageName","BossModuleName","BossIdentifier"
"HZ_GEO_DATA_PROVIDER","Geography Information Provider (test 2)","Names of the source of geography information. (test 2)","SEED_DATA_FROM_APPLICATION","2013/08/08 06:21:27.687","CUSTOMIZED_USER","2022/04/04 18:05:39.0","D9EAF209BE4D4B6EE053CE65F00AB110","47110F64ABE908E2E040449823C60DB6","U","AUTH","","",""
"HZ_GEO_IDENTIFIER_SUBTYPE","Geography Identifier Subtype","Identifier subtype for geography, for example, primary.","SEED_DATA_FROM_APPLICATION","2013/08/08 06:21:27.819","SEED_DATA_FROM_APPLICATION","2024/01/24 10:11:50.695258","-1","47110F64ABE908E2E040449823C60DB6","U","AUTH","","",""
