"BranchType","DooProcessVersion","StepNumber","ProcessName","StepNumber1","StepNumber2","OrchestrationApplicationId","DooProcessVersion1","LastUpdatedBy","CreatedBy"
"","1","100","ShipOrderProcess1","200","","10008","1","SCM_IMPL","SCM_IMPL"
"","1","200","ShipOrderProcess1","300","100","10008","1","SCM_IMPL","SCM_IMPL"
"","1","300","ShipOrderProcess1","400","200","10008","1","SCM_IMPL","SCM_IMPL"
"","1","400","ShipOrderProcess1","500","300","10008","1","SCM_IMPL","SCM_IMPL"
"","1","500","ShipOrderProcess1","","400","10008","1","SCM_IMPL","SCM_IMPL"
"","2","100","ClickShipCollect1","200","","10008","2","SCM_IMPL","SCM_IMPL"
"","2","200","ClickShipCollect1","300","100","10008","2","SCM_IMPL","SCM_IMPL"
"","2","300","ClickShipCollect1","400","200","10008","2","SCM_IMPL","SCM_IMPL"
"","2","300","ClickShipCollect1","1000","","10008","2","SCM_IMPL","SCM_IMPL"
"","2","400","ClickShipCollect1","500","300","10008","2","SCM_IMPL","SCM_IMPL"
"","2","500","ClickShipCollect1","600","400","10008","2","SCM_IMPL","SCM_IMPL"
"","2","600","ClickShipCollect1","700","500","10008","2","SCM_IMPL","SCM_IMPL"
"","2","700","ClickShipCollect1","800","600","10008","2","SCM_IMPL","SCM_IMPL"
"","2","800","ClickShipCollect1","900","700","10008","2","SCM_IMPL","SCM_IMPL"
"","2","900","ClickShipCollect1","1400","800","10008","2","SCM_IMPL","SCM_IMPL"
"","2","1000","ClickShipCollect1","1100","300","10008","2","SCM_IMPL","SCM_IMPL"
"","2","1100","ClickShipCollect1","1200","1000","10008","2","SCM_IMPL","SCM_IMPL"
"","2","1200","ClickShipCollect1","1300","1100","10008","2","SCM_IMPL","SCM_IMPL"
"","2","1300","ClickShipCollect1","1400","1200","10008","2","SCM_IMPL","SCM_IMPL"
"","2","1400","ClickShipCollect1","1500","900","10008","2","SCM_IMPL","SCM_IMPL"
"","2","1400","ClickShipCollect1","","1300","10008","2","SCM_IMPL","SCM_IMPL"
"","2","1500","ClickShipCollect1","1600","1400","10008","2","SCM_IMPL","SCM_IMPL"
"","2","1600","ClickShipCollect1","","1500","10008","2","SCM_IMPL","SCM_IMPL"
"","2","100","ClickShipCollect2","200","","10008","2","SCM_IMPL","SCM_IMPL"
"","2","200","ClickShipCollect2","300","100","10008","2","SCM_IMPL","SCM_IMPL"
"","2","300","ClickShipCollect2","400","200","10008","2","SCM_IMPL","SCM_IMPL"
"","2","300","ClickShipCollect2","1000","","10008","2","SCM_IMPL","SCM_IMPL"
"","2","400","ClickShipCollect2","500","300","10008","2","SCM_IMPL","SCM_IMPL"
"","2","500","ClickShipCollect2","600","400","10008","2","SCM_IMPL","SCM_IMPL"
"","2","600","ClickShipCollect2","700","500","10008","2","SCM_IMPL","SCM_IMPL"
"","2","700","ClickShipCollect2","800","600","10008","2","SCM_IMPL","SCM_IMPL"
"","2","800","ClickShipCollect2","900","700","10008","2","SCM_IMPL","SCM_IMPL"
"","2","900","ClickShipCollect2","1500","800","10008","2","SCM_IMPL","SCM_IMPL"
"","2","1000","ClickShipCollect2","1100","300","10008","2","SCM_IMPL","SCM_IMPL"
"","2","1100","ClickShipCollect2","1200","1000","10008","2","SCM_IMPL","SCM_IMPL"
