"OrchestrationApplicationCode","StatusCode","ProcessName","SequenceNumber","DooProcessVersion","NotifyFlag","CreatedBy","LastUpdatedBy","ConditionDisplayTaskCode"
"DOO","AWAIT_BILLING","ShipOrderGenericProcessIA1","70","1","N","SCM_IMPL","SCM_IMPL","""DOO_Invoice""=""AWAIT_BILLING"""
"DOO","BILLED","ShipOrderGenericProcessIA1","80","1","N","SCM_IMPL","SCM_IMPL","""DOO_Invoice""=""BILLED"""
"DOO","PARTIAL_PICK","ShipOrderGenericProcessIA1","90","1","N","SCM_IMPL","SCM_IMPL","""DOO_Ship""=""PARTIAL_PICK"""
"DOO","PARTIAL_BACK","ShipOrderGenericProcessIA1","100","1","N","SCM_IMPL","SCM_IMPL","""DOO_Ship""=""PARTIAL_BACK"""
"DOO","SCH_MANUAL","ShipOrderGenericProcessIA1","110","1","N","SCM_IMPL","SCM_IMPL","""DOO_Schedule""=""USER_ACTION"""
"DOO","RES_MANUAL","ShipOrderGenericProcessIA1","120","1","N","SCM_IMPL","SCM_IMPL","""DOO_Reserve""=""USER_ACTION"""
"DOO","SCHEDULED","ShipOrderGenericProcessIA1","10","1","N","SCM_IMPL","SCM_IMPL","""DOO_Schedule""=""SCHEDULED"""
"DOO","RESERVED","ShipOrderGenericProcessIA1","20","1","N","SCM_IMPL","SCM_IMPL","""DOO_Reserve""=""RESERVED"""
"DOO","AWAIT_BILLING","ShipOrderGenericProcessIA1","70","2","N","SCM_IMPL","SCM_IMPL","""DOO_Invoice""=""AWAIT_BILLING"""
"DOO","AWAIT_OTHER_LINES","ShipOrderGenericProcessIA1","65","2","N","SCM_IMPL","SCM_IMPL","""DOO_Pause""=""WAITING"""
"DOO","AWAIT_SHIP","ShipOrderGenericProcessIA1","30","2","N","SCM_IMPL","SCM_IMPL","""DOO_Ship""=""AWAIT_SHIP""OR""DOO_Ship""=""VARIOUS"""
"DOO","BACKORDERED","ShipOrderGenericProcessIA1","40","2","N","SCM_IMPL","SCM_IMPL","""DOO_Ship""=""BACKORDERED"""
"DOO","BILLED","ShipOrderGenericProcessIA1","80","2","N","SCM_IMPL","SCM_IMPL","""DOO_Invoice""=""BILLED"""
"DOO","PARTIAL_BACK","ShipOrderGenericProcessIA1","100","2","N","SCM_IMPL","SCM_IMPL","""DOO_Ship""=""PARTIAL_BACK"""
"DOO","PARTIAL_PICK","ShipOrderGenericProcessIA1","90","2","N","SCM_IMPL","SCM_IMPL","""DOO_Ship""=""PARTIAL_PICK"""
"DOO","SCHEDULED","ManualShipOrderGenericProcess","1","1","","SCM_IMPL","SCM_IMPL","""DOO_Schedule""=""SCHEDULED"""
"DOO","RESERVED","ManualShipOrderGenericProcess","2","1","","SCM_IMPL","SCM_IMPL","""DOO_Reserve""=""RESERVED"""
"DOO","AWAIT_SHIP","ManualShipOrderGenericProcess","3","1","","SCM_IMPL","SCM_IMPL","""DOO_Ship""=""AWAIT_SHIP""OR""DOO_Ship""=""VARIOUS"""
"DOO","BACKORDERED","ManualShipOrderGenericProcess","4","1","","SCM_IMPL","SCM_IMPL","""DOO_Ship""=""BACKORDERED"""
"DOO","PICKED","ManualShipOrderGenericProcess","5","1","","SCM_IMPL","SCM_IMPL","""DOO_Ship""=""PICKED"""
"DOO","SHIPPED","ManualShipOrderGenericProcess","6","1","","SCM_IMPL","SCM_IMPL","""DOO_Ship""=""SHIPPED"""
"DOO","AWAIT_BILLING","ManualShipOrderGenericProcess","7","1","","SCM_IMPL","SCM_IMPL","""DOO_Invoice""=""AWAIT_BILLING"""
"DOO","BILLED","ManualShipOrderGenericProcess","8","1","","SCM_IMPL","SCM_IMPL","""DOO_Invoice""=""BILLED"""
"DOO","PARTIAL_PICK","ManualShipOrderGenericProcess","9","1","","SCM_IMPL","SCM_IMPL","""DOO_Ship""=""PARTIAL_PICK"""
"DOO","PARTIAL_BACK","ManualShipOrderGenericProcess","10","1","","SCM_IMPL","SCM_IMPL","""DOO_Ship""=""PARTIAL_BACK"""
"DOO","SCH_MANUAL","ManualShipOrderGenericProcess","12","1","","SCM_IMPL","SCM_IMPL","""DOO_Schedule""=""USER_ACTION"""
"DOO","RES_MANUAL","ManualShipOrderGenericProcess","13","1","","SCM_IMPL","SCM_IMPL","""DOO_Reserve""=""USER_ACTION"""
"DOO","CREDIT_CARD_APPROVED","ClickShipCollect1","5","1","N","SCM_IMPL","SCM_IMPL","""Credit Card Payment""=""CREDIT_CARD_APPROVED"""
"DOO","SCHEDULED","ClickShipCollect1","10","1","N","SCM_IMPL","SCM_IMPL","""DOO_Schedule""=""SCHEDULED"""
"DOO","RESERVED","ClickShipCollect1","20","1","N","SCM_IMPL","SCM_IMPL","""DOO_Reserve""=""RESERVED"""
"DOO","SKU_PICKED","ClickShipCollect1","25","1","N","SCM_IMPL","SCM_IMPL","""NotifyStoretoPickSKU""=""SKU_PICKED"""
"DOO","CUSTOMER_NOTIFIED","ClickShipCollect1","30","1","N","SCM_IMPL","SCM_IMPL","""NotifyCustomer""=""CUSTOMER_NOTIFIED"""
"DOO","AWAIT_SHIP","ClickShipCollect1","40","1","N","SCM_IMPL","SCM_IMPL","""DOO_Ship""=""AWAIT_SHIP"""
"DOO","AWAIT_CUSTOMER_PICKUP","ClickShipCollect1","45","1","N","SCM_IMPL","SCM_IMPL","""CustomerPickup""=""AWAIT_SHIP"""
"DOO","PICKED","ClickShipCollect1","60","1","N","SCM_IMPL","SCM_IMPL","""DOO_Ship""=""PICKED""OR""CustomerPickup""=""PICKED"""
"DOO","SHIPPED","ClickShipCollect1","70","1","N","SCM_IMPL","SCM_IMPL","""DOO_Ship""=""SHIPPED""OR""CustomerPickup""=""SHIPPED"""
"DOO","BILLED","ClickShipCollect1","90","1","N","SCM_IMPL","SCM_IMPL","""Settlement""=""AWAIT_BILLING""OR""Settlement""=""BILLED"""
"DOO","SCHEDULED","ShipOrderProcess","1","1","","SCM_IMPL","SCM_IMPL","""DOO_Schedule""=""SCHEDULED"""
"DOO","AWAIT_SHIP","ShipOrderProcess","3","1","","SCM_IMPL","SCM_IMPL","""DOO_Ship""=""AWAIT_SHIP""OR""DOO_Ship""=""VARIOUS"""
"DOO","BACKORDERED","ShipOrderProcess","4","1","","SCM_IMPL","SCM_IMPL","""DOO_Ship""=""BACKORDERED"""
"DOO","PICKED","ShipOrderProcess","5","1","","SCM_IMPL","SCM_IMPL","""DOO_Ship""=""PICKED"""
"DOO","SHIPPED","ShipOrderProcess","6","1","","SCM_IMPL","SCM_IMPL","""DOO_Ship""=""SHIPPED"""
"DOO","BILLED","ShipOrderProcess","8","1","","SCM_IMPL","SCM_IMPL","""DOO_Invoice""=""BILLED"""
"DOO","PARTIAL_PICK","ShipOrderProcess","9","1","","SCM_IMPL","SCM_IMPL","""DOO_Ship""=""PARTIAL_PICK"""
"DOO","PARTIAL_BACK","ShipOrderProcess","10","1","","SCM_IMPL","SCM_IMPL","""DOO_Ship""=""PARTIAL_BACK"""
"DOO","PRE-ORDER","ClickShipCollect3","3","1","N","SCM_IMPL","SCM_IMPL","""Pre-order""=""WAITING"""
"DOO","CREDIT_CARD_APPROVED","ClickShipCollect2","5","1","N","SCM_IMPL","SCM_IMPL","""Credit Card Payment""=""CREDIT_CARD_APPROVED"""
"DOO","SCHEDULED","ClickShipCollect2","10","1","N","SCM_IMPL","SCM_IMPL","""DOO_Schedule""=""SCHEDULED"""
"DOO","SKU_PICKED","ClickShipCollect2","25","1","N","SCM_IMPL","SCM_IMPL","""NotifyStoretoPickSKU1""=""SKU_PICKED"""
"DOO","CUSTOMER_NOTIFIED","ClickShipCollect2","30","1","N","SCM_IMPL","SCM_IMPL","""NotifyCustomer""=""CUSTOMER_NOTIFIED"""
"DOO","AWAIT_SHIP","ClickShipCollect2","40","1","N","SCM_IMPL","SCM_IMPL","""DOO_Ship""=""AWAIT_SHIP"""
"DOO","BACKORDERED","ClickShipCollect2","50","1","N","SCM_IMPL","SCM_IMPL","""DOO_Ship""=""BACKORDERED""OR""CustomerPickup""=""BACKORDERED"""
"DOO","PICKED","ClickShipCollect2","60","1","N","SCM_IMPL","SCM_IMPL","""DOO_Ship""=""PICKED""OR""CustomerPickup""=""PICKED"""
"DOO","SHIPPED","ClickShipCollect2","70","1","N","SCM_IMPL","SCM_IMPL","""DOO_Ship""=""SHIPPED""OR""CustomerPickup""=""SHIPPED"""
