"ORA_DOO_ORCHESTRATION_PROCESS_STATUS_RULE_SET.OrchestrationApplicationCode","ORA_DOO_ORCHESTRATION_PROCESS_STATUS_RULE_SET.StatusRulesetCode","Language","Name","SourceLang"
"DOO","Copy 2 of DOO_Ship_Order_Status_Rule_Set-Version 1","NL","Copy 4 of Ship Order Status Rule Set-Version 1","US"
"DOO","Copy 2 of DOO_Ship_Order_Status_Rule_Set-Version 1","PL","Copy 4 of Ship Order Status Rule Set-Version 1","US"
"DOO","Copy 2 of DOO_Ship_Order_Status_Rule_Set-Version 1","PTB","Copy 4 of Ship Order Status Rule Set-Version 1","US"
"DOO","Copy 2 of DOO_Ship_Order_Status_Rule_Set-Version 1","RO","Copy 4 of Ship Order Status Rule Set-Version 1","US"
"DOO","Copy 2 of DOO_Ship_Order_Status_Rule_Set-Version 1","RU","Copy 4 of Ship Order Status Rule Set-Version 1","US"
"DOO","Copy 2 of DOO_Ship_Order_Status_Rule_Set-Version 1","S","Copy 4 of Ship Order Status Rule Set-Version 1","US"
"DOO","Copy 2 of DOO_Ship_Order_Status_Rule_Set-Version 1","SF","Copy 4 of Ship Order Status Rule Set-Version 1","US"
"DOO","Copy 2 of DOO_Ship_Order_Status_Rule_Set-Version 1","SK","Copy 4 of Ship Order Status Rule Set-Version 1","US"
"DOO","Copy 2 of DOO_Ship_Order_Status_Rule_Set-Version 1","TH","Copy 4 of Ship Order Status Rule Set-Version 1","US"
"DOO","Copy 2 of DOO_Ship_Order_Status_Rule_Set-Version 1","TR","Copy 4 of Ship Order Status Rule Set-Version 1","US"
"DOO","Copy 2 of DOO_Ship_Order_Status_Rule_Set-Version 1","UK","Copy 4 of Ship Order Status Rule Set-Version 1","US"
"DOO","Copy 2 of DOO_Ship_Order_Status_Rule_Set-Version 1","US","Copy 4 of Ship Order Status Rule Set-Version 1","US"
"DOO","Copy 2 of DOO_Ship_Order_Status_Rule_Set-Version 1","VN","Copy 4 of Ship Order Status Rule Set-Version 1","US"
"DOO","Copy 2 of DOO_Ship_Order_Status_Rule_Set-Version 1","ZHS","Copy 4 of Ship Order Status Rule Set-Version 1","US"
"DOO","Copy 2 of DOO_Ship_Order_Status_Rule_Set-Version 1","ZHT","Copy 4 of Ship Order Status Rule Set-Version 1","US"
"DOO","Copy 16 of DOO_DROP_SHIP_AND_BACK_TO_BACK_ORDER_STATUS_RULE_SET","AR","Copy 16 of Drop Ship and Back-To-Back Order Status Rule Set","US"
"DOO","Copy 16 of DOO_DROP_SHIP_AND_BACK_TO_BACK_ORDER_STATUS_RULE_SET","CS","Copy 16 of Drop Ship and Back-To-Back Order Status Rule Set","US"
"DOO","Copy 16 of DOO_DROP_SHIP_AND_BACK_TO_BACK_ORDER_STATUS_RULE_SET","D","Copy 16 of Drop Ship and Back-To-Back Order Status Rule Set","US"
"DOO","Copy 16 of DOO_DROP_SHIP_AND_BACK_TO_BACK_ORDER_STATUS_RULE_SET","DK","Copy 16 of Drop Ship and Back-To-Back Order Status Rule Set","US"
"DOO","Copy 16 of DOO_DROP_SHIP_AND_BACK_TO_BACK_ORDER_STATUS_RULE_SET","E","Copy 16 of Drop Ship and Back-To-Back Order Status Rule Set","US"
"DOO","Copy 16 of DOO_DROP_SHIP_AND_BACK_TO_BACK_ORDER_STATUS_RULE_SET","EL","Copy 16 of Drop Ship and Back-To-Back Order Status Rule Set","US"
"DOO","Copy 16 of DOO_DROP_SHIP_AND_BACK_TO_BACK_ORDER_STATUS_RULE_SET","F","Copy 16 of Drop Ship and Back-To-Back Order Status Rule Set","US"
"DOO","Copy 16 of DOO_DROP_SHIP_AND_BACK_TO_BACK_ORDER_STATUS_RULE_SET","FRC","Copy 16 of Drop Ship and Back-To-Back Order Status Rule Set","US"
"DOO","Copy 16 of DOO_DROP_SHIP_AND_BACK_TO_BACK_ORDER_STATUS_RULE_SET","HR","Copy 16 of Drop Ship and Back-To-Back Order Status Rule Set","US"
"DOO","Copy 16 of DOO_DROP_SHIP_AND_BACK_TO_BACK_ORDER_STATUS_RULE_SET","HU","Copy 16 of Drop Ship and Back-To-Back Order Status Rule Set","US"
"DOO","Copy 16 of DOO_DROP_SHIP_AND_BACK_TO_BACK_ORDER_STATUS_RULE_SET","I","Copy 16 of Drop Ship and Back-To-Back Order Status Rule Set","US"
"DOO","Copy 16 of DOO_DROP_SHIP_AND_BACK_TO_BACK_ORDER_STATUS_RULE_SET","IW","Copy 16 of Drop Ship and Back-To-Back Order Status Rule Set","US"
"DOO","Copy 16 of DOO_DROP_SHIP_AND_BACK_TO_BACK_ORDER_STATUS_RULE_SET","JA","Copy 16 of Drop Ship and Back-To-Back Order Status Rule Set","US"
"DOO","Copy 16 of DOO_DROP_SHIP_AND_BACK_TO_BACK_ORDER_STATUS_RULE_SET","KO","Copy 16 of Drop Ship and Back-To-Back Order Status Rule Set","US"
"DOO","Copy 16 of DOO_DROP_SHIP_AND_BACK_TO_BACK_ORDER_STATUS_RULE_SET","N","Copy 16 of Drop Ship and Back-To-Back Order Status Rule Set","US"
"DOO","Copy 16 of DOO_DROP_SHIP_AND_BACK_TO_BACK_ORDER_STATUS_RULE_SET","NL","Copy 16 of Drop Ship and Back-To-Back Order Status Rule Set","US"
"DOO","Copy 16 of DOO_DROP_SHIP_AND_BACK_TO_BACK_ORDER_STATUS_RULE_SET","PL","Copy 16 of Drop Ship and Back-To-Back Order Status Rule Set","US"
"DOO","Copy 16 of DOO_DROP_SHIP_AND_BACK_TO_BACK_ORDER_STATUS_RULE_SET","PTB","Copy 16 of Drop Ship and Back-To-Back Order Status Rule Set","US"
"DOO","Copy 16 of DOO_DROP_SHIP_AND_BACK_TO_BACK_ORDER_STATUS_RULE_SET","RO","Copy 16 of Drop Ship and Back-To-Back Order Status Rule Set","US"
"DOO","Copy 16 of DOO_DROP_SHIP_AND_BACK_TO_BACK_ORDER_STATUS_RULE_SET","RU","Copy 16 of Drop Ship and Back-To-Back Order Status Rule Set","US"
