"ORA_DOO_ORCHESTRATION_PROCESS_STATUS_RULE_SET.OrchestrationApplicationCode","ORA_DOO_ORCHESTRATION_PROCESS_STATUS_RULE_SET.StatusRulesetCode","Language","Name","SourceLang"
"DOO","Copy 1 of ClickShipCollect1","SK","Copy 1 of ClickShipCollect1","US"
"DOO","Copy 1 of ClickShipCollect1","SL","Copy 1 of ClickShipCollect1","US"
"DOO","Copy 1 of ClickShipCollect1","TH","Copy 1 of ClickShipCollect1","US"
"DOO","Copy 1 of ClickShipCollect1","TR","Copy 1 of ClickShipCollect1","US"
"DOO","Copy 1 of ClickShipCollect1","UK","Copy 1 of ClickShipCollect1","US"
"DOO","Copy 1 of ClickShipCollect1","US","Copy 1 of ClickShipCollect1","US"
"DOO","Copy 1 of ClickShipCollect1","VN","Copy 1 of ClickShipCollect1","US"
"DOO","Copy 1 of ClickShipCollect1","ZHS","Copy 1 of ClickShipCollect1","US"
"DOO","Copy 1 of ClickShipCollect1","ZHT","Copy 1 of ClickShipCollect1","US"
"DOO","Copy 1 of Copy 15 of DOO_DROP_SHIP_AND_BACK_TO_BACK_ORDER_STATUS_RULE_SET","AR","Copy 1 of Copy 15 of Drop Ship and Back-To-Back Order Status Rule Set","US"
"DOO","Copy 1 of Copy 15 of DOO_DROP_SHIP_AND_BACK_TO_BACK_ORDER_STATUS_RULE_SET","CS","Copy 1 of Copy 15 of Drop Ship and Back-To-Back Order Status Rule Set","US"
"DOO","Copy 1 of Copy 15 of DOO_DROP_SHIP_AND_BACK_TO_BACK_ORDER_STATUS_RULE_SET","D","Copy 1 of Copy 15 of Drop Ship and Back-To-Back Order Status Rule Set","US"
"DOO","Copy 1 of Copy 15 of DOO_DROP_SHIP_AND_BACK_TO_BACK_ORDER_STATUS_RULE_SET","DK","Copy 1 of Copy 15 of Drop Ship and Back-To-Back Order Status Rule Set","US"
"DOO","Copy 1 of Copy 15 of DOO_DROP_SHIP_AND_BACK_TO_BACK_ORDER_STATUS_RULE_SET","E","Copy 1 of Copy 15 of Drop Ship and Back-To-Back Order Status Rule Set","US"
"DOO","Copy 1 of Copy 15 of DOO_DROP_SHIP_AND_BACK_TO_BACK_ORDER_STATUS_RULE_SET","EL","Copy 1 of Copy 15 of Drop Ship and Back-To-Back Order Status Rule Set","US"
"DOO","Copy 1 of Copy 15 of DOO_DROP_SHIP_AND_BACK_TO_BACK_ORDER_STATUS_RULE_SET","F","Copy 1 of Copy 15 of Drop Ship and Back-To-Back Order Status Rule Set","US"
