"DOO_ORCHESTRATION_PROCESS.DooProcessVersion","DOO_ORCHESTRATION_PROCESS.ProcessName","ORA_DOO_ORCHESTRATION_PROCESS_STEP_DEFINITION.OrchestrationApplicationCode","ORA_DOO_ORCHESTRATION_PROCESS_STEP_DEFINITION.DooProcessVersion","ORA_DOO_ORCHESTRATION_PROCESS_STEP_DEFINITION.StepNumber","Language","SourceLang","StepName","SplitUnitDisplayName"
"2","ClickShipCollect2","DOO","2","1300","AR","US","Awaiting Customer Pickup","Split"
"2","ClickShipCollect2","DOO","2","1300","CS","US","Awaiting Customer Pickup","Split"
"2","ClickShipCollect2","DOO","2","1300","D","D","Warten auf Selbstabholung","Aufteilen"
"2","ClickShipCollect2","DOO","2","1300","DK","US","Awaiting Customer Pickup","Split"
"2","ClickShipCollect2","DOO","2","1300","E","E","En espera de recogida por cliente","Fraccionar"
"2","ClickShipCollect2","DOO","2","1300","EL","US","Awaiting Customer Pickup","Split"
"2","ClickShipCollect2","DOO","2","1300","ESA","US","Awaiting Customer Pickup","Split"
"2","ClickShipCollect2","DOO","2","1300","ET","US","Awaiting Customer Pickup","Split"
"2","ClickShipCollect2","DOO","2","1300","F","F","En attente de l'enlèvement client","Fractionner"
"2","ClickShipCollect2","DOO","2","1300","FRC","FRC","En attente de l'enlèvement client","Fractionner"
"2","ClickShipCollect2","DOO","2","1300","HR","US","Awaiting Customer Pickup","Split"
"2","ClickShipCollect2","DOO","2","1300","HU","US","Awaiting Customer Pickup","Split"
"2","ClickShipCollect2","DOO","2","1300","I","I","In attesa di ritiro cliente","Dividere"
"2","ClickShipCollect2","DOO","2","1300","IS","US","Awaiting Customer Pickup","Split"
"2","ClickShipCollect2","DOO","2","1300","IW","US","Awaiting Customer Pickup","Split"
"2","ClickShipCollect2","DOO","2","1300","JA","JA","顧客ピックアップ待ち","分割"
"2","ClickShipCollect2","DOO","2","1300","KO","KO","고객Pickup 대기","분열"
"2","ClickShipCollect2","DOO","2","1300","LT","US","Awaiting Customer Pickup","Split"
"2","ClickShipCollect2","DOO","2","1300","LV","US","Awaiting Customer Pickup","Split"
"2","ClickShipCollect2","DOO","2","1300","N","US","Awaiting Customer Pickup","Split"
"2","ClickShipCollect2","DOO","2","1300","NL","NL","Wacht op ophalen door klant","Split"
"2","ClickShipCollect2","DOO","2","1300","PL","US","Awaiting Customer Pickup","Split"
"2","ClickShipCollect2","DOO","2","1300","PT","US","Awaiting Customer Pickup","Split"
"2","ClickShipCollect2","DOO","2","1300","PTB","US","Awaiting Customer Pickup","Split"
"2","ClickShipCollect2","DOO","2","1300","RO","US","Awaiting Customer Pickup","Split"
"2","ClickShipCollect2","DOO","2","1300","RU","US","Awaiting Customer Pickup","Split"
"2","ClickShipCollect2","DOO","2","1300","S","US","Awaiting Customer Pickup","Split"
"2","ClickShipCollect2","DOO","2","1300","SF","US","Awaiting Customer Pickup","Split"
"2","ClickShipCollect2","DOO","2","1300","SK","US","Awaiting Customer Pickup","Split"
"2","ClickShipCollect2","DOO","2","1300","SL","US","Awaiting Customer Pickup","Split"
"2","ClickShipCollect2","DOO","2","1300","TH","US","Awaiting Customer Pickup","Split"
"2","ClickShipCollect2","DOO","2","1300","TR","US","Awaiting Customer Pickup","Split"
