"DooProcessVersion","ProcessName","OrchestrationApplicationCode","MainProcessFlag","CompositeNameSpace","DeployedBpelVersion","EffectiveEndDate","EffectiveStartDate","EssFlag","ProcessReleaseStatusCode","ReplanFlag","UseDynamicAttrInDeltaComp","UseFlexAttrInDeltaComp","CostOfChangeRlsId","CostOfChangeRlsName","CreatedBy","LastUpdatedBy","SetCode","RuleDictionaryName","RuleDictionaryVersion","ChangeManagementMode","CatalogCode","ExecutionTypeCode","ProcessIdentifier","ProcessClassCode","OrchestrationTypeCode","MetadataOrchFlag"
"2","ClickShipCollect2","DOO","Y","","5","","2014/03/21","N","RELEASED","Y","Y","Y","","","SCM_IMPL","SCM_IMPL","COMMON","TempDictDuringRevise300000074117970","1","ADVANCED","","","","Retail Order Class","",""
"2","ClickShipCollect1","DOO","Y","","5","","2014/03/21","N","RELEASED","Y","Y","Y","","","SCM_IMPL","SCM_IMPL","COMMON","TempDictDuringRevise300000074117751","1","ADVANCED","","","","Retail Order Class","",""
