"DOO_ORCHESTRATION_PROCESS.DooProcessVersion","DOO_ORCHESTRATION_PROCESS.ProcessName","Language","DooProcessVersion","Description","SourceLang","ProcessDisplayName"
"2","ClickShipCollect1","F","2","Créer une commande d'achat en ligne et l'enlever du magasin ou demander qu'elle vous soit envoyé","F","ClickShipCollectProcess1"
"2","ClickShipCollect1","FRC","2","Créer une commande d'achat en ligne et l'enlever du magasin ou demander qu'elle vous soit envoyé","FRC","ClickShipCollectProcess1"
"2","ClickShipCollect1","HR","2","Order online and collect from store or have it shipped","US","ClickShipCollectProcess1"
"2","ClickShipCollect1","HU","2","Order online and collect from store or have it shipped","US","ClickShipCollectProcess1"
"2","ClickShipCollect1","I","2","Ordine on line e raccolta dal negozio o spedizione","I","ClickProcessoSpedireRitirare1"
"2","ClickShipCollect1","IS","2","Order online and collect from store or have it shipped","US","ClickShipCollectProcess1"
"2","ClickShipCollect1","IW","2","Order online and collect from store or have it shipped","US","ClickShipCollectProcess1"
"2","ClickShipCollect1","JA","2","Order online and collect from store or have it shipped","US","ClickShipCollectProcess1"
"2","ClickShipCollect1","KO","2","온라인으로 주문하고 상점에서 수집하거나 발송","KO","화물집하과정1클릭"
"2","ClickShipCollect1","LT","2","Order online and collect from store or have it shipped","US","ClickShipCollectProcess1"
"2","ClickShipCollect1","LV","2","Order online and collect from store or have it shipped","US","ClickShipCollectProcess1"
"2","ClickShipCollect1","N","2","Order online and collect from store or have it shipped","US","ClickShipCollectProcess1"
"2","ClickShipCollect1","NL","2","Bestel online en haal op bij winkel of krijg het toegestuurd","NL","ClickShipCollectProcess1"
"2","ClickShipCollect1","PL","2","Order online and collect from store or have it shipped","US","ClickShipCollectProcess1"
"2","ClickShipCollect1","PT","2","Order online and collect from store or have it shipped","US","ClickShipCollectProcess1"
"2","ClickShipCollect1","PTB","2","Order online and collect from store or have it shipped","US","ClickShipCollectProcess1"
"2","ClickShipCollect1","RO","2","Order online and collect from store or have it shipped","US","ClickShipCollectProcess1"
"2","ClickShipCollect1","RU","2","Order online and collect from store or have it shipped","US","ClickShipCollectProcess1"
"2","ClickShipCollect1","S","2","Order online and collect from store or have it shipped","US","ClickShipCollectProcess1"
"2","ClickShipCollect1","SF","2","Order online and collect from store or have it shipped","US","ClickShipCollectProcess1"
"2","ClickShipCollect1","SK","2","Order online and collect from store or have it shipped","US","ClickShipCollectProcess1"
"2","ClickShipCollect1","SL","2","Order online and collect from store or have it shipped","US","ClickShipCollectProcess1"
"2","ClickShipCollect1","TH","2","Order online and collect from store or have it shipped","US","ClickShipCollectProcess1"
"2","ClickShipCollect1","TR","2","Order online and collect from store or have it shipped","US","ClickShipCollectProcess1"
"2","ClickShipCollect1","UK","2","Order online and collect from store or have it shipped","US","ClickShipCollectProcess1"
"2","ClickShipCollect1","US","2","Order online and collect from store or have it shipped","US","ClickShipCollectProcess1"
"2","ClickShipCollect1","VN","2","Order online and collect from store or have it shipped","US","ClickShipCollectProcess1"
"2","ClickShipCollect1","ZHS","2","在线订单并且来源于商店，或者已经发运","ZHS","ClickShipCollectProcess1"
"2","ClickShipCollect1","ZHT","2","在線訂單並且來源于商店，或者已經發隕","ZHT","ClickShipCollectProcess1"
